date,The Glory (TV series),Moving (South Korean TV series),My Demon,King the Land,Gyeongseong Creature,Twinkling Watermelon,Death's Game,Crash Course in Romance,Welcome to Samdal-ri,Celebrity (South Korean TV series),A Time Called You,Perfect Marriage Revenge,See You in My 19th Life,The Good Bad Mother,My Lovely Liar,Doona!,Love to Hate You (TV series),Daily Dose of Sunshine,Destined with You
2023-09-25,3205.0,17988,,3689.0,634.0,6337.0,,885.0,448.0,1211.0,9190,178.0,1457.0,809.0,4337.0,1525.0,685.0,131.0,1.0
2023-09-26,3139.0,16948,,3465.0,586.0,15395.0,,820.0,399.0,1134.0,8073,160.0,1625.0,786.0,4040.0,932.0,609.0,135.0,2.0
2023-09-27,3050.0,13012,,3198.0,731.0,15349.0,,856.0,720.0,1236.0,7172,207.0,1455.0,744.0,3605.0,862.0,672.0,125.0,0.0
2023-09-28,3286.0,10762,,3341.0,848.0,10866.0,,772.0,818.0,1280.0,7646,198.0,1447.0,744.0,3464.0,1123.0,630.0,161.0,2.0
2023-09-29,3073.0,8058,,3170.0,723.0,7667.0,,800.0,738.0,1161.0,6697,241.0,1337.0,751.0,3182.0,1031.0,641.0,156.0,0.0
2023-09-30,3002.0,1595,198.0,3372.0,710.0,6582.0,,801.0,665.0,1163.0,7476,253.0,1339.0,774.0,3461.0,818.0,648.0,169.0,1.0
2023-10-01,3153.0,1089,343.0,3455.0,707.0,6687.0,,879.0,720.0,1255.0,7276,318.0,1455.0,848.0,3471.0,749.0,725.0,198.0,0.0
2023-10-02,2956.0,950,322.0,3180.0,676.0,7723.0,,754.0,656.0,1177.0,6593,306.0,1339.0,782.0,3339.0,1061.0,719.0,191.0,0.0
2023-10-03,3145.0,780,305.0,3070.0,643.0,10586.0,,793.0,510.0,1193.0,5925,191.0,1252.0,647.0,2601.0,784.0,613.0,166.0,2.0
2023-10-04,3047.0,675,301.0,2735.0,755.0,9999.0,,825.0,630.0,1151.0,5479,196.0,1289.0,644.0,2424.0,3710.0,611.0,131.0,1.0
2023-10-05,2910.0,703,313.0,2765.0,790.0,7610.0,,682.0,820.0,1119.0,5214,150.0,1155.0,618.0,2480.0,2065.0,612.0,2959.0,0.0
2023-10-06,2849.0,575,284.0,2601.0,693.0,6508.0,,738.0,747.0,1101.0,5080,171.0,1297.0,666.0,2557.0,1402.0,731.0,1130.0,1.0
2023-10-07,3100.0,641,274.0,2761.0,677.0,6409.0,,794.0,756.0,1160.0,5424,185.0,1314.0,705.0,2690.0,1171.0,1017.0,806.0,3.0
2023-10-08,3339.0,824,281.0,2956.0,710.0,6867.0,,793.0,764.0,1145.0,5446,183.0,1566.0,762.0,2661.0,1178.0,1033.0,656.0,3.0
2023-10-09,2900.0,725,315.0,2826.0,601.0,7927.0,,747.0,651.0,1078.0,4966,214.0,1374.0,663.0,2457.0,973.0,932.0,462.0,2.0
2023-10-10,2794.0,577,319.0,2543.0,560.0,14802.0,,747.0,575.0,1156.0,4595,225.0,1220.0,748.0,2308.0,1085.0,996.0,449.0,0.0
2023-10-11,2995.0,469,595.0,2544.0,596.0,15243.0,,788.0,594.0,1347.0,4258,211.0,1354.0,692.0,2195.0,1358.0,889.0,458.0,1.0
2023-10-12,3150.0,429,1482.0,2741.0,581.0,12057.0,,751.0,562.0,1379.0,4316,211.0,1348.0,683.0,2235.0,786.0,873.0,387.0,3.0
2023-10-13,3105.0,383,4613.0,2915.0,592.0,11514.0,,757.0,560.0,1403.0,4368,204.0,1349.0,691.0,2189.0,851.0,857.0,426.0,8.0
2023-10-14,3104.0,467,3464.0,3711.0,643.0,10773.0,,830.0,618.0,1456.0,4543,236.0,1325.0,734.0,2379.0,777.0,849.0,548.0,1.0
2023-10-15,3318.0,526,2233.0,3881.0,676.0,13154.0,,866.0,626.0,1648.0,4541,254.0,1387.0,869.0,2601.0,1017.0,778.0,762.0,2.0
2023-10-16,3135.0,401,1669.0,3420.0,666.0,16007.0,,815.0,560.0,1370.0,4110,269.0,1373.0,764.0,2302.0,957.0,743.0,551.0,2.0
2023-10-17,2799.0,336,1720.0,2915.0,652.0,20278.0,,807.0,527.0,1293.0,3718,213.0,1149.0,706.0,2228.0,1059.0,626.0,618.0,0.0
2023-10-18,2752.0,310,1411.0,2764.0,683.0,20505.0,,807.0,694.0,1303.0,3625,306.0,1181.0,707.0,2255.0,1794.0,650.0,575.0,
2023-10-19,2629.0,307,1291.0,2671.0,768.0,17039.0,,743.0,701.0,1316.0,3448,245.0,1229.0,767.0,2024.0,3503.0,627.0,1594.0,1.0
2023-10-20,2639.0,310,1160.0,2750.0,652.0,15822.0,,753.0,687.0,1317.0,3232,292.0,1193.0,711.0,1918.0,33964.0,681.0,729.0,0.0
2023-10-21,2852.0,370,978.0,2936.0,697.0,15519.0,,843.0,1079.0,1355.0,3555,285.0,1373.0,822.0,2091.0,57527.0,752.0,469.0,2.0
2023-10-22,2978.0,407,1071.0,3063.0,825.0,14626.0,,837.0,956.0,1367.0,3532,395.0,1363.0,851.0,2216.0,55456.0,756.0,444.0,0.0
2023-10-23,2748.0,286,920.0,2784.0,686.0,17074.0,,764.0,830.0,1294.0,3217,398.0,1209.0,754.0,2197.0,41387.0,647.0,393.0,0.0
2023-10-24,2832.0,293,920.0,2607.0,710.0,22956.0,,763.0,922.0,1219.0,3166,312.0,1527.0,728.0,2118.0,31298.0,573.0,367.0,3.0
2023-10-25,2567.0,236,1164.0,2513.0,759.0,22953.0,,821.0,976.0,1223.0,2932,349.0,1438.0,730.0,2066.0,25418.0,573.0,353.0,1.0
2023-10-26,2621.0,245,1419.0,2699.0,860.0,17758.0,,742.0,893.0,1219.0,2939,384.0,1210.0,705.0,1872.0,21548.0,653.0,323.0,1.0
2023-10-27,2660.0,261,3229.0,2629.0,709.0,15796.0,,759.0,798.0,1011.0,2823,563.0,1225.0,608.0,1734.0,18134.0,580.0,286.0,1.0
2023-10-28,2859.0,293,3004.0,2637.0,740.0,15866.0,,900.0,753.0,1160.0,2939,2348.0,1447.0,730.0,1880.0,16867.0,691.0,307.0,
2023-10-29,3023.0,267,2045.0,2701.0,738.0,15265.0,,832.0,733.0,1134.0,2955,7336.0,1529.0,746.0,1961.0,17017.0,749.0,352.0,2.0
2023-10-30,3162.0,234,2917.0,2540.0,690.0,18268.0,,780.0,602.0,1210.0,2760,9401.0,1385.0,727.0,1583.0,14448.0,733.0,577.0,1.0
2023-10-31,2753.0,1239,2739.0,2297.0,707.0,21152.0,,736.0,595.0,1118.0,2509,8359.0,1179.0,628.0,1758.0,12284.0,721.0,565.0,1.0
2023-11-01,2750.0,3840,2387.0,2314.0,793.0,20004.0,,649.0,588.0,1298.0,2609,8496.0,1169.0,671.0,1886.0,11435.0,657.0,996.0,0.0
2023-11-02,2606.0,5480,1685.0,2393.0,601.0,15267.0,,679.0,3285.0,1133.0,2499,8182.0,1291.0,645.0,2011.0,9587.0,610.0,1243.0,0.0
2023-11-03,2692.0,4639,2162.0,2430.0,630.0,12775.0,,713.0,2104.0,1134.0,2480,7584.0,1334.0,627.0,1942.0,8092.0,665.0,12486.0,1.0
2023-11-04,2723.0,5361,1693.0,2606.0,775.0,13109.0,,749.0,1514.0,1245.0,2623,10203.0,1291.0,665.0,1673.0,8437.0,735.0,17052.0,0.0
2023-11-05,2891.0,5040,1521.0,2643.0,820.0,12629.0,,791.0,1236.0,1314.0,2600,12520.0,1336.0,758.0,1625.0,8606.0,795.0,15121.0,0.0
2023-11-06,2751.0,4173,1626.0,2460.0,814.0,16346.0,,724.0,1095.0,1281.0,2149,11255.0,1191.0,725.0,1518.0,6865.0,666.0,12464.0,
2023-11-07,2579.0,4531,1550.0,2211.0,724.0,23591.0,,679.0,1074.0,2294.0,2017,9219.0,1095.0,642.0,1367.0,6571.0,562.0,11434.0,1.0
2023-11-08,2425.0,3934,1516.0,2216.0,700.0,23501.0,,660.0,957.0,1593.0,2061,7988.0,1106.0,554.0,1346.0,6116.0,535.0,10902.0,
2023-11-09,2231.0,4050,1675.0,2065.0,734.0,18808.0,,649.0,2289.0,1450.0,1958,8206.0,1109.0,687.0,1369.0,5526.0,696.0,10057.0,0.0
2023-11-10,2450.0,3694,4105.0,2183.0,658.0,16693.0,4.0,722.0,1776.0,1533.0,2018,8139.0,1104.0,686.0,1467.0,5551.0,632.0,9359.0,2.0
2023-11-11,2655.0,4374,4352.0,2393.0,1209.0,16557.0,4.0,759.0,1726.0,1488.0,2200,11342.0,1216.0,676.0,1855.0,5805.0,707.0,9370.0,
2023-11-12,3007.0,4867,4493.0,2544.0,4314.0,16748.0,,739.0,1309.0,1566.0,2421,15211.0,1176.0,694.0,1875.0,5676.0,665.0,8831.0,
2023-11-13,2872.0,4576,3445.0,2380.0,2431.0,22771.0,4.0,754.0,1333.0,1613.0,2342,16389.0,1199.0,720.0,1909.0,4881.0,597.0,7731.0,2.0
2023-11-14,2783.0,4061,3123.0,2251.0,1519.0,40456.0,2.0,728.0,1230.0,1565.0,2148,14215.0,1101.0,710.0,1716.0,4678.0,656.0,7067.0,1.0
2023-11-15,2692.0,3964,3361.0,1930.0,2065.0,38838.0,2.0,721.0,1000.0,1394.0,2004,13710.0,1081.0,651.0,1889.0,4114.0,627.0,5948.0,
2023-11-16,2640.0,4092,3556.0,2059.0,1222.0,27932.0,2.0,689.0,1111.0,1605.0,1925,15645.0,1099.0,717.0,1574.0,3835.0,637.0,5319.0,1.0
2023-11-17,2661.0,4179,3029.0,2057.0,977.0,23798.0,5.0,684.0,1070.0,1480.0,1896,16758.0,1125.0,787.0,1437.0,3527.0,688.0,4727.0,
2023-11-18,2933.0,4649,3684.0,2346.0,938.0,22027.0,357.0,746.0,993.0,1484.0,2069,21613.0,1231.0,762.0,1483.0,3801.0,635.0,5135.0,
2023-11-19,3180.0,4572,3301.0,2492.0,805.0,20933.0,1860.0,752.0,1078.0,1486.0,1961,27760.0,1302.0,825.0,1533.0,3996.0,603.0,5105.0,
2023-11-20,3332.0,4333,3203.0,2272.0,1065.0,18781.0,3227.0,794.0,1092.0,1617.0,1953,24461.0,1301.0,755.0,1897.0,3568.0,592.0,4319.0,1.0
2023-11-21,2825.0,4042,3225.0,2104.0,732.0,14690.0,2330.0,753.0,1632.0,1502.0,1913,20300.0,1244.0,646.0,1427.0,3024.0,563.0,4066.0,0.0
2023-11-22,2775.0,4068,3550.0,2238.0,657.0,13649.0,2711.0,752.0,1338.0,1994.0,1779,20795.0,1211.0,733.0,1430.0,3078.0,652.0,4396.0,0.0
2023-11-23,2711.0,3850,4206.0,2086.0,4559.0,12055.0,3444.0,660.0,1476.0,1566.0,1738,19735.0,1072.0,725.0,1276.0,2986.0,527.0,3881.0,
2023-11-24,2857.0,3980,19996.0,2044.0,3698.0,11735.0,2950.0,692.0,1279.0,1463.0,1920,19861.0,1125.0,720.0,1319.0,3086.0,521.0,3494.0,
2023-11-25,3164.0,4535,41336.0,2552.0,2657.0,12265.0,2408.0,776.0,1230.0,1579.0,2243,24167.0,1227.0,766.0,1452.0,3018.0,629.0,3596.0,2.0
2023-11-26,3540.0,4530,38466.0,2635.0,1930.0,11895.0,1869.0,834.0,1217.0,1693.0,2287,26039.0,1252.0,806.0,1647.0,3114.0,757.0,3579.0,
2023-11-27,3325.0,3996,27657.0,2307.0,1606.0,10744.0,1712.0,754.0,1265.0,1651.0,2015,22059.0,1234.0,840.0,1529.0,2813.0,561.0,3156.0,0.0
2023-11-28,2858.0,4033,22302.0,2106.0,1118.0,9657.0,1668.0,740.0,1239.0,1479.0,1975,17423.0,1104.0,760.0,1559.0,2509.0,627.0,2952.0,
2023-11-29,2901.0,4097,17804.0,2287.0,964.0,9224.0,7794.0,810.0,1923.0,1441.0,1942,15510.0,1177.0,881.0,1258.0,2306.0,545.0,2844.0,1.0
2023-11-30,2785.0,3878,17676.0,2111.0,984.0,8526.0,4586.0,715.0,1852.0,1269.0,1748,13068.0,1107.0,779.0,1230.0,2159.0,627.0,2436.0,2.0
2023-12-01,2795.0,3551,20643.0,2024.0,1047.0,8107.0,3613.0,601.0,2105.0,1353.0,1535,12646.0,1114.0,736.0,1266.0,2052.0,581.0,2373.0,0.0
2023-12-02,3112.0,4020,29130.0,2175.0,1017.0,8284.0,3458.0,752.0,8541.0,1497.0,1591,17885.0,1327.0,808.0,1231.0,2168.0,536.0,2730.0,0.0
2023-12-03,3210.0,4072,31966.0,2469.0,978.0,8201.0,3173.0,852.0,23244.0,1647.0,1887,27511.0,1918.0,897.0,1290.0,2254.0,512.0,2672.0,1.0
2023-12-04,3000.0,3782,24628.0,2061.0,990.0,7219.0,2732.0,1097.0,18382.0,1531.0,1706,21805.0,1663.0,769.0,1236.0,2023.0,567.0,2387.0,0.0
2023-12-05,3064.0,3584,20353.0,1955.0,1215.0,6684.0,2459.0,1434.0,11504.0,1381.0,1704,15483.0,1505.0,755.0,1099.0,1874.0,512.0,2285.0,1.0
2023-12-06,3063.0,3753,13050.0,1918.0,999.0,6419.0,2357.0,972.0,8752.0,1815.0,1532,12104.0,1403.0,697.0,1136.0,1658.0,506.0,2117.0,
2023-12-07,2967.0,3436,15744.0,1848.0,2858.0,6370.0,1982.0,750.0,7523.0,1585.0,1585,9640.0,1383.0,833.0,1175.0,1687.0,1205.0,2052.0,1.0
2023-12-08,3003.0,3473,23116.0,1922.0,2441.0,6258.0,2421.0,791.0,6911.0,1522.0,1584,9265.0,1314.0,789.0,1266.0,1717.0,782.0,2114.0,1.0
2023-12-09,3020.0,3346,36996.0,2079.0,2974.0,6460.0,3203.0,840.0,9792.0,1499.0,1660,9128.0,1438.0,773.0,1328.0,1811.0,536.0,2357.0,0.0
2023-12-10,3340.0,3597,37485.0,2354.0,2217.0,6558.0,2791.0,899.0,15626.0,1657.0,1674,9166.0,1719.0,875.0,1264.0,1864.0,623.0,2261.0,2.0
2023-12-11,3108.0,3210,28174.0,2285.0,1631.0,5829.0,2728.0,821.0,12490.0,1485.0,1497,7555.0,1511.0,803.0,1182.0,1534.0,552.0,2096.0,0.0
2023-12-12,3631.0,3017,22800.0,2042.0,1768.0,5400.0,3159.0,779.0,8266.0,1502.0,1437,6702.0,1392.0,723.0,1168.0,1510.0,582.0,1797.0,0.0
2023-12-13,7687.0,3602,20309.0,2075.0,1660.0,4988.0,5004.0,1004.0,7547.0,1561.0,1535,6364.0,1357.0,799.0,1331.0,1557.0,629.0,1704.0,
2023-12-14,5204.0,4313,19476.0,2338.0,1829.0,5110.0,6880.0,785.0,6869.0,1533.0,1501,5937.0,1299.0,818.0,1391.0,1518.0,674.0,1590.0,0.0
2023-12-15,3999.0,3424,25558.0,2110.0,1735.0,5113.0,39442.0,725.0,6269.0,1456.0,1455,5587.0,1181.0,750.0,1228.0,1382.0,572.0,1645.0,0.0
2023-12-16,3977.0,3475,37230.0,2284.0,1799.0,5304.0,49758.0,731.0,8967.0,1387.0,1586,5659.0,1234.0,932.0,1207.0,1551.0,617.0,1645.0,0.0
2023-12-17,4776.0,3990,35628.0,2478.0,1952.0,5308.0,48017.0,804.0,13794.0,1527.0,1570,5641.0,1399.0,966.0,1367.0,1640.0,699.0,1896.0,0.0
2023-12-18,4402.0,4013,27065.0,2426.0,2294.0,5468.0,41193.0,707.0,13794.0,1498.0,1699,5603.0,1480.0,1011.0,1282.0,1573.0,679.0,1815.0,0.0
2023-12-19,3987.0,3516,22082.0,2330.0,2837.0,5281.0,35322.0,797.0,8689.0,1386.0,1622,5065.0,1347.0,840.0,1198.0,1542.0,631.0,1613.0,1.0
2023-12-20,4037.0,3385,19696.0,2105.0,3253.0,5078.0,27341.0,787.0,7982.0,1390.0,1616,4894.0,1336.0,757.0,1183.0,1572.0,666.0,1621.0,0.0
2023-12-21,3962.0,3334,19454.0,2133.0,4646.0,5370.0,27915.0,779.0,7413.0,1404.0,1617,5052.0,1277.0,799.0,1081.0,1587.0,594.0,1898.0,2.0
2023-12-22,3686.0,3156,25241.0,1995.0,36597.0,4996.0,27702.0,726.0,6750.0,1365.0,1487,4550.0,1193.0,862.0,1084.0,1412.0,538.0,1690.0,1.0
2023-12-23,3564.0,5016,33478.0,2019.0,57362.0,5130.0,24093.0,788.0,8305.0,1417.0,1458,4082.0,1186.0,791.0,1073.0,1385.0,530.0,1633.0,0.0
2023-12-24,3614.0,3992,31540.0,1988.0,49887.0,4990.0,22032.0,852.0,11943.0,1131.0,1429,3734.0,1200.0,885.0,1011.0,1490.0,541.0,1651.0,0.0
2023-12-25,3717.0,4091,23170.0,2294.0,48457.0,5336.0,21578.0,826.0,12927.0,1130.0,1480,3902.0,1311.0,1000.0,1366.0,1445.0,585.0,1776.0,
2023-12-26,4141.0,4162,22543.0,2578.0,43145.0,5596.0,19516.0,814.0,10379.0,1255.0,1560,4274.0,1404.0,999.0,1555.0,1670.0,609.0,1808.0,0.0
2023-12-27,4479.0,3999,22541.0,2411.0,37058.0,6063.0,17699.0,877.0,8952.0,1432.0,1592,4174.0,1461.0,1027.0,1627.0,1735.0,674.0,1689.0,1.0
2023-12-28,4241.0,4213,22007.0,2369.0,31510.0,5706.0,16902.0,1064.0,8504.0,1378.0,1599,3594.0,1405.0,1042.0,1702.0,1618.0,741.0,1751.0,1.0
2023-12-29,4058.0,4584,27286.0,2505.0,28212.0,6016.0,16178.0,1015.0,8298.0,1394.0,1794,3360.0,1397.0,1152.0,1633.0,1550.0,737.0,1849.0,1.0
2023-12-30,4201.0,4743,26635.0,3015.0,28100.0,5965.0,15384.0,1059.0,11762.0,1465.0,2114,3801.0,1564.0,1216.0,1809.0,1634.0,620.0,1807.0,0.0
2023-12-31,4214.0,4502,19315.0,3016.0,23311.0,5310.0,13127.0,947.0,13981.0,1264.0,1834,2982.0,1491.0,1026.0,1444.0,1358.0,593.0,1753.0,0.0
2024-01-01,4336.0,4692,19309.0,2971.0,25506.0,5530.0,15796.0,949.0,14641.0,1477.0,1873,3210.0,1695.0,1069.0,1549.0,1429.0,657.0,1499.0,2.0
2024-01-02,4356.0,4516,19396.0,2883.0,23149.0,5823.0,16127.0,976.0,11787.0,1447.0,1753,4645.0,1713.0,1221.0,1508.0,1553.0,643.0,1756.0,1.0
2024-01-03,4178.0,4109,18005.0,2684.0,23038.0,5343.0,15826.0,965.0,9564.0,1506.0,1813,5146.0,1600.0,1014.0,1270.0,1574.0,590.0,1577.0,0.0
2024-01-04,4049.0,3993,17522.0,2576.0,23741.0,5224.0,20458.0,1004.0,8574.0,1480.0,1607,5912.0,1427.0,1028.0,1286.0,1509.0,666.0,1679.0,1.0
2024-01-05,3780.0,3540,23352.0,2366.0,48609.0,5162.0,39724.0,900.0,8302.0,1322.0,1601,4885.0,1539.0,988.0,1163.0,1328.0,759.0,1573.0,0.0
2024-01-06,3973.0,3782,28242.0,2523.0,54461.0,4914.0,38938.0,970.0,10506.0,1325.0,1583,4827.0,1487.0,983.0,1104.0,1440.0,833.0,1627.0,0.0
2024-01-07,4117.0,3711,28140.0,2476.0,42726.0,4683.0,30993.0,1041.0,16470.0,1370.0,1733,4927.0,1662.0,1073.0,1274.0,1450.0,812.0,1490.0,0.0
2024-01-08,3554.0,3432,19000.0,2134.0,33626.0,4177.0,24637.0,999.0,14825.0,1267.0,1593,3939.0,1515.0,1014.0,1092.0,1266.0,667.0,1363.0,1.0
2024-01-09,3453.0,3300,17631.0,2210.0,27978.0,4291.0,23173.0,969.0,11375.0,1348.0,1558,4650.0,1542.0,921.0,1033.0,1272.0,736.0,1363.0,
2024-01-10,3481.0,3111,15666.0,2272.0,22514.0,4007.0,20770.0,863.0,9815.0,1302.0,1539,5053.0,1360.0,916.0,958.0,1249.0,610.0,1345.0,0.0
2024-01-11,3397.0,3052,15327.0,2225.0,19228.0,4216.0,20099.0,808.0,9099.0,1289.0,1379,4971.0,1431.0,915.0,1063.0,1221.0,571.0,1147.0,0.0
2024-01-12,3305.0,3223,18993.0,2130.0,20377.0,4110.0,19506.0,920.0,10025.0,1255.0,1373,4554.0,1471.0,912.0,1104.0,1137.0,592.0,1260.0,0.0
2024-01-13,3597.0,3761,23919.0,2364.0,20492.0,4140.0,21478.0,933.0,13495.0,1390.0,1469,4331.0,1499.0,983.0,1047.0,1214.0,684.0,1371.0,
2024-01-14,4154.0,4041,24911.0,2445.0,20469.0,4315.0,23761.0,1060.0,18876.0,1381.0,1629,4302.0,1629.0,986.0,1154.0,1179.0,778.0,1359.0,0.0
2024-01-15,4239.0,3804,18748.0,2532.0,16200.0,3851.0,20450.0,992.0,16252.0,1348.0,1446,3740.0,1544.0,950.0,1066.0,1192.0,688.0,1180.0,0.0
2024-01-16,3714.0,3449,15883.0,2334.0,14929.0,4049.0,18820.0,895.0,11893.0,1340.0,1338,3545.0,1476.0,876.0,1178.0,1159.0,682.0,1246.0,0.0
2024-01-17,3450.0,3824,14281.0,2174.0,16342.0,4079.0,16320.0,854.0,10435.0,1250.0,1411,3640.0,1453.0,845.0,942.0,1073.0,685.0,1181.0,1.0
2024-01-18,3412.0,4040,15069.0,2128.0,12729.0,3639.0,15228.0,749.0,10228.0,1138.0,1343,3457.0,1377.0,797.0,917.0,1034.0,718.0,1252.0,0.0
2024-01-19,3649.0,4138,21633.0,2119.0,12223.0,3688.0,15169.0,764.0,10845.0,1085.0,1308,3391.0,1243.0,833.0,896.0,962.0,649.0,1310.0,1.0
2024-01-20,3717.0,3811,34473.0,2314.0,12687.0,3786.0,15236.0,847.0,15609.0,1243.0,1461,3366.0,1445.0,878.0,980.0,1069.0,659.0,1299.0,2.0
2024-01-21,4226.0,3562,31750.0,2441.0,12859.0,3876.0,15030.0,927.0,29760.0,1178.0,1576,3625.0,1754.0,910.0,1049.0,1088.0,779.0,1397.0,1.0
2024-01-22,3795.0,2802,21404.0,2236.0,10120.0,3466.0,13032.0,862.0,27600.0,1008.0,1282,3102.0,1758.0,942.0,907.0,1047.0,649.0,1179.0,0.0
2024-01-23,4085.0,2629,16709.0,2156.0,8897.0,3336.0,11834.0,734.0,17291.0,1031.0,1148,3081.0,1559.0,815.0,909.0,974.0,749.0,1193.0,0.0
2024-01-24,3824.0,2731,16171.0,2017.0,8540.0,3416.0,11028.0,813.0,13275.0,970.0,1365,3242.0,1541.0,850.0,764.0,1014.0,611.0,1129.0,0.0
2024-01-25,3642.0,2720,15165.0,1969.0,8104.0,3296.0,10683.0,844.0,12430.0,914.0,1372,3679.0,1559.0,787.0,876.0,913.0,631.0,1069.0,0.0
2024-01-26,3690.0,2940,13857.0,1967.0,7625.0,3125.0,10738.0,800.0,11086.0,962.0,1222,3411.0,1552.0,911.0,828.0,901.0,683.0,1111.0,0.0
2024-01-27,4047.0,3182,15698.0,2234.0,8220.0,3584.0,12253.0,891.0,12274.0,1146.0,1385,4067.0,1640.0,911.0,854.0,1016.0,874.0,1147.0,0.0
2024-01-28,4137.0,3250,14250.0,2466.0,8464.0,3636.0,12094.0,879.0,12439.0,1213.0,1342,3809.0,1743.0,984.0,924.0,1149.0,919.0,1194.0,0.0
2024-01-29,3544.0,2912,11704.0,2159.0,7110.0,3552.0,10226.0,808.0,10318.0,1104.0,1279,3228.0,1548.0,866.0,897.0,961.0,708.0,1138.0,0.0
2024-01-30,3479.0,2773,10034.0,2208.0,6360.0,3288.0,10045.0,853.0,9249.0,983.0,1331,3594.0,1508.0,935.0,793.0,950.0,682.0,1181.0,0.0
2024-01-31,3468.0,2749,9361.0,2048.0,5970.0,3088.0,9897.0,772.0,8663.0,988.0,1362,3643.0,1498.0,854.0,796.0,907.0,635.0,1062.0,1.0
2024-02-01,3231.0,2455,8151.0,1934.0,5458.0,2904.0,8852.0,728.0,7544.0,969.0,1280,3591.0,1382.0,691.0,824.0,853.0,558.0,1079.0,2.0
2024-02-02,3286.0,2256,7426.0,2136.0,5348.0,2974.0,8791.0,744.0,7358.0,948.0,1128,3417.0,1299.0,771.0,753.0,793.0,555.0,1001.0,0.0
2024-02-03,3500.0,2732,8286.0,2315.0,6036.0,2935.0,9083.0,810.0,7691.0,1068.0,1241,3443.0,1450.0,845.0,795.0,964.0,750.0,1078.0,1.0
2024-02-04,3627.0,2755,8345.0,2268.0,6398.0,3029.0,9123.0,875.0,7869.0,1067.0,1351,3568.0,1502.0,895.0,933.0,1242.0,749.0,1114.0,1.0
2024-02-05,3163.0,2414,6801.0,2124.0,5190.0,2509.0,7325.0,874.0,6631.0,914.0,1125,2848.0,1337.0,808.0,731.0,938.0,516.0,992.0,1.0
2024-02-06,3070.0,2391,6580.0,1813.0,4774.0,2441.0,7250.0,789.0,5729.0,911.0,1116,2796.0,1271.0,782.0,691.0,896.0,518.0,883.0,0.0
2024-02-07,2883.0,2330,5970.0,1737.0,4578.0,2505.0,6798.0,775.0,5470.0,981.0,1082,2958.0,1234.0,770.0,631.0,805.0,624.0,954.0,2.0
2024-02-08,3006.0,2370,5534.0,1765.0,4469.0,2565.0,6533.0,710.0,5360.0,851.0,1097,2890.0,1224.0,793.0,629.0,881.0,583.0,944.0,1.0
2024-02-09,3194.0,2364,5928.0,1874.0,4407.0,2577.0,6521.0,860.0,5187.0,853.0,978,2993.0,1126.0,730.0,603.0,823.0,550.0,814.0,0.0
2024-02-10,3111.0,2333,6128.0,1999.0,4972.0,2949.0,7002.0,802.0,5442.0,864.0,1188,2993.0,1333.0,734.0,764.0,880.0,611.0,906.0,0.0
2024-02-11,3363.0,2769,6245.0,2053.0,5031.0,2930.0,6797.0,880.0,5795.0,933.0,1273,2984.0,1393.0,756.0,763.0,918.0,656.0,981.0,0.0
2024-02-12,2965.0,2741,5384.0,1840.0,4371.0,2573.0,6149.0,775.0,5011.0,787.0,1143,2664.0,1080.0,756.0,831.0,783.0,569.0,973.0,0.0
2024-02-13,3014.0,2241,5011.0,1775.0,4154.0,2686.0,5711.0,689.0,4438.0,928.0,1019,2995.0,1124.0,709.0,640.0,759.0,588.0,981.0,0.0
2024-02-14,2806.0,2141,4739.0,1574.0,3714.0,2469.0,5331.0,707.0,4242.0,802.0,894,2474.0,1018.0,650.0,634.0,730.0,555.0,873.0,0.0
2024-02-15,2893.0,2270,4535.0,1518.0,3618.0,2195.0,5721.0,714.0,3949.0,931.0,841,2239.0,1070.0,693.0,642.0,773.0,493.0,838.0,0.0
2024-02-16,2820.0,2480,4388.0,1580.0,3457.0,2078.0,5346.0,717.0,4054.0,928.0,957,2124.0,1001.0,625.0,801.0,774.0,590.0,884.0,0.0
2024-02-17,2980.0,2717,4518.0,1726.0,3848.0,2318.0,5453.0,818.0,4306.0,925.0,998,2159.0,1146.0,670.0,826.0,846.0,654.0,907.0,0.0
2024-02-18,3129.0,3016,5049.0,1946.0,4005.0,2441.0,5149.0,779.0,4526.0,999.0,1070,2061.0,1168.0,740.0,760.0,778.0,666.0,838.0,1.0
2024-02-19,2898.0,2886,4671.0,1685.0,3416.0,2194.0,4691.0,732.0,4033.0,1156.0,967,1749.0,1053.0,689.0,626.0,823.0,629.0,815.0,0.0
2024-02-20,2871.0,2246,4451.0,1569.0,3035.0,2208.0,4492.0,740.0,3686.0,1238.0,991,1854.0,990.0,617.0,541.0,825.0,510.0,772.0,0.0
2024-02-21,2760.0,2160,4275.0,1649.0,2975.0,2090.0,4265.0,757.0,3486.0,1231.0,986,2009.0,1013.0,669.0,576.0,792.0,534.0,707.0,0.0
2024-02-22,2708.0,2119,4264.0,1527.0,2944.0,2072.0,4343.0,785.0,3324.0,901.0,999,2159.0,1043.0,746.0,622.0,760.0,568.0,829.0,0.0
2024-02-23,2832.0,2034,4244.0,1514.0,2954.0,2273.0,4476.0,800.0,3464.0,837.0,950,2160.0,969.0,785.0,651.0,715.0,494.0,758.0,0.0
2024-02-24,2955.0,2335,4666.0,1689.0,3017.0,2349.0,4648.0,740.0,3435.0,884.0,1077,2169.0,1117.0,735.0,626.0,749.0,586.0,742.0,0.0
